Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita
Cyprus,2016,35138,35170,70308,Cyprus,Cyprus,24280.056640625,1237112.0,0.028429115552997628,0.02840324885701537
Cyprus,2017,39505,39501,79006,Cyprus,Cyprus,26247.44921875,1254275.0,0.031493093619820216,0.031496282713121125
Cyprus,2018,41336,41341,82677,Cyprus,Cyprus,29120.375,1270737.0,0.03253308906563671,0.03252915434114219
Cyprus,2019,40154,40181,80335,Cyprus,Cyprus,29227.173828125,1286671.0,0.031228651302469705,0.03120766691718396
Cyprus,2020,15796,15787,31583,Cyprus,Cyprus,28130.341796875,1302247.0,0.01212289220094191,0.012129803332240351
Cyprus,2021,25810,25819,51629,Cyprus,Cyprus,32937.83984375,1317309.0,0.01959980536077716,0.01959297325077108
Cyprus,2022,35932,35923,71855,Cyprus,Cyprus,33231.04296875,1331370.0,0.026981980966973868,0.02698874092100618
Cyprus,2023,43210,43220,86430,Cyprus,Cyprus,36623.69140625,1344976.0,0.032134402398258405,0.032126967321349974
Cyprus,2024,46774,46760,93534,Cyprus,Cyprus,38674.29296875,1358282.0,0.03442584087840375,0.03443614801639129
Czech Republic,2016,74643,74788,149431,Czechia,Czechia,18753.9686718096,10566332.0,0.00707795287901232,0.007064230046907479
Czech Republic,2017,81658,81860,163518,Czechia,Czechia,20913.197632212,10594438.0,0.0077266958379481766,0.007707629229601419
Czech Republic,2018,84946,85084,170030,Czechia,Czechia,23705.9329811299,10629928.0,0.008004193443266971,0.007991211229276436
Czech Republic,2019,83288,83483,166771,Czechia,Czechia,24062.7190013343,10671870.0,0.007822715231726023,0.007804442895200185
Czech Republic,2020,30501,30704,61205,Czechia,Czechia,23472.8915454417,10697858.0,0.0028701072682026625,0.0028511315068867056
Czech Republic,2021,35437,35638,71075,Czechia,Czechia,27696.4619527544,10505772.0,0.00339223048053965,0.0033730981407173125
Czech Republic,2022,55852,56026,111878,Czechia,Czechia,28282.2236715857,10672118.0,0.005249754547316662,0.005233450379765291
Czech Republic,2023,65692,65862,131554,Czechia,Czechia,31761.5944102491,10864042.0,0.0060623845158183295,0.006046736564530955
Czech Republic,2024,74430,74577,149007,Czechia,Czechia,31823.3078290564,10905028.0,0.006838771986646893,0.006825291966237959
Denmark,2016,132849,132919,265768,Denmark,Denmark,54500.9260410217,5728010.0,0.023205092169880988,0.02319287152082486
Denmark,2017,129611,129699,259310,Denmark,Denmark,57521.5514992225,5764980.0,0.022497736332129512,0.02248247175185343
Denmark,2018,133047,133160,266207,Denmark,Denmark,61324.7665045565,5793636.0,0.022983839509420335,0.022964335350028894
Denmark,2019,131691,131743,263434,Denmark,Denmark,59404.2663247723,5814422.0,0.022657970130135034,0.022649026850820254
Denmark,2020,49097,49107,98204,Denmark,Denmark,60985.4885601514,5831404.0,0.00842112808510609,0.008419413232216462
Denmark,2021,54932,54938,109870,Denmark,Denmark,69340.7334922138,5856733.0,0.009380314929842285,0.009379290467911035
Denmark,2022,101075,101135,202210,Denmark,Denmark,67781.0940939514,5903037.0,0.017132706435687258,0.01712254217617135
Denmark,2023,113628,113705,227333,Denmark,Denmark,68043.5466971243,5946952.0,0.019119878552912483,0.019106930743681805
Denmark,2024,120318,120358,240676,Denmark,Denmark,71026.4832271897,5976992.0,0.020136884907993854,0.020130192578474256
Estonia,2016,19307,19291,38598,Estonia,Estonia,18666.3736521706,1315790.0,0.014661154135538345,0.014673314130674348
Estonia,2017,21688,21687,43375,Estonia,Estonia,20851.5223496861,1317384.0,0.016462170483321492,0.016462929563437843
Estonia,2018,23266,23251,46517,Estonia,Estonia,23618.1361254581,1321977.0,0.017588051834487285,0.017599398476675465
Estonia,2019,22774,22760,45534,Estonia,Estonia,24021.2501413306,1326898.0,0.017152787930948724,0.017163338854983577
