Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita,Visa_Acceptance_Rate,GDP_Cluster
Lithuania,2020,15517,15599,31116,Lithuania,Lithuania,20428.6478157394,2810369.0,0.005550516675924,0.0055213390127773,97.562874251497,Higher Low 25-50%
Lithuania,2021,17385,17395,34780,Lithuania,Lithuania,23870.4594851722,2808380.0,0.0061939623555216,0.0061904015838312,96.80584719754482,Higher Low 25-50%
Lithuania,2022,26595,26586,53181,Lithuania,Lithuania,25085.784063499,2831639.0,0.0093889086850407,0.0093920870562949,90.71396294622684,Higher Low 25-50%
Lithuania,2024,29751,29752,59503,Lithuania,Lithuania,29384.0189598663,2888278.0,0.010300947484972,0.0103006012579121,83.8929977335083,Higher Low 25-50%
Luxembourg,2016,32762,32790,65552,Luxembourg,Luxembourg,106899.293549552,582014.0,0.0563388509554753,0.0562907421470961,97.12179357705514,Highest 25%
Luxembourg,2017,35299,35368,70667,Luxembourg,Luxembourg,110193.213797228,596336.0,0.0593088460196935,0.059193139438169,96.14154338264694,Highest 25%
Luxembourg,2018,37406,37469,74875,Luxembourg,Luxembourg,116926.759593905,607950.0,0.0616317131343038,0.0615280861912986,96.23942625965428,Highest 25%
Luxembourg,2019,38116,38184,76300,Luxembourg,Luxembourg,112696.649059674,620001.0,0.0615869974403267,0.0614773201978706,95.97372686172481,Highest 25%
Luxembourg,2020,20148,20187,40335,Luxembourg,Luxembourg,116860.02817236,630419.0,0.0320215602638879,0.0319596966461988,94.49169704333738,Highest 25%
Luxembourg,2021,23836,23848,47684,Luxembourg,Luxembourg,134965.815442152,640064.0,0.0372587741225877,0.0372400259974002,95.92950062945866,Highest 25%
Luxembourg,2022,34869,34926,69795,Luxembourg,Luxembourg,123719.658915996,653103.0,0.0534770166420916,0.053389740975007,86.45217140383782,Highest 25%
Luxembourg,2024,35949,35975,71924,Luxembourg,Luxembourg,137781.681659123,677012.0,0.0531379059750787,0.0530995019290647,85.65387868071038,Highest 25%
Malta,2016,22210,22292,44502,Malta,Malta,26459.0770929988,454505.0,0.0490467651620994,0.0488663491050703,76.37843483271509,Lower High 50-75%
Malta,2017,25410,25379,50789,Malta,Malta,30317.2443175543,467106.0,0.0543324213347719,0.0543987874272649,73.34811646999815,Lower High 50-75%
Malta,2018,28420,28248,56668,Malta,Malta,33382.2677499267,483903.0,0.0583753355527864,0.0587307786891174,77.11175033249822,Lower High 50-75%
Malta,2019,29286,28895,58181,Malta,Malta,32421.9179752262,503912.0,0.057341361190049,0.0581172903205321,79.68071336113908,Lower High 50-75%
Malta,2020,12217,12090,24307,Malta,Malta,31823.4363934505,515490.0,0.0234534132572891,0.0236997807910919,71.9097651421508,Lower High 50-75%
Malta,2021,16274,16225,32499,Malta,Malta,38096.8360735119,518150.0,0.0313133262568754,0.0314078934671427,82.81722933643772,Lower High 50-75%
Malta,2022,24216,24260,48476,Malta,Malta,35638.8869457406,531113.0,0.0456776618158471,0.0455948169221992,61.764309764309765,Lower High 50-75%
Malta,2024,33487,33496,66983,Malta,Malta,43898.5781808597,568847.0,0.0588840232962466,0.0588682018187667,58.881477906007284,Lower High 50-75%
Netherlands,2016,266778,266854,533632,Netherlands,Netherlands,46808.5291492503,17030314.0,0.0156693528962531,0.0156648902656756,89.26036685116134,Highest 25%
Netherlands,2017,274602,274745,549347,Netherlands,Netherlands,49513.6817346384,17131296.0,0.0160376074291168,0.0160292601330337,88.65183745258926,Highest 25%
Netherlands,2018,280073,280094,560167,Netherlands,Netherlands,53955.0770024266,17231624.0,0.0162546490104473,0.016253430320903,85.44332174820217,Highest 25%
Netherlands,2019,279091,279035,558126,Netherlands,Netherlands,53554.9007491475,17344874.0,0.0160874619210263,0.0160906905406173,85.24622318897042,Highest 25%
Netherlands,2020,132898,133045,265943,Netherlands,Netherlands,53467.9277413737,17441500.0,0.0076280709801335,0.0076196428059513,81.00879206242718,Highest 25%
Netherlands,2021,156844,156892,313736,Netherlands,Netherlands,60141.9880911492,17533044.0,0.0089483605927185,0.0089456229049559,84.98251925783006,Highest 25%
Netherlands,2022,232914,232961,465875,Netherlands,Netherlands,59123.318556487,17700982.0,0.0131609082479152,0.0131582530279958,80.65390212777292,Highest 25%
Netherlands,2024,266423,266442,532865,Netherlands,Netherlands,67520.4218956281,17993485.0,0.0148076928955119,0.0148066369577655,82.63954458619706,Highest 25%
Poland,2016,177172,177216,354388,Poland,Poland,12464.0110508476,37970087.0,0.0046672529351855,0.0046660941282541,96.9384339673405,Lowest 25%
Poland,2017,193048,193103,386151,Poland,Poland,13913.3402919927,37974826.0,0.0050850265910369,0.0050835782631367,95.89868072083499,Lowest 25%
